CODE_VEHI,Kilometrage_Total
A0938,28192.0
A1035,444.0
A1037,14332.0
A1078,423854.0
C0484,66940.0
C1747,3240.0
C1998,32802528.0
C1999,2024081.0
C2000,13402.0
C2003,836.0
C2004,24110462.0
C2012,49930.0
C2020,4310.0
C2040,121245.0
C2041,0.0
C2046,126994.0
C2054,49380.0
C2056,132052.0
C2058,144993.0
C2060,14770.0
C2068,221442.0
C2070,432.0
C2074,20.0
C2082,17876.0
C2089,16325.0
C2090,7430.0
C2097,223830.0
C2099,1369.0
C2101,84775.0
C2102,93530.0
C2105,39864.0
C2128,67434.0
C2136,16884.0
C2137,155906.0
C2138,287495.0
C2152,14316.0
C2157,77764.0
C2158,31338.0
C2161,4708.0
C2169,122292.0
C2170,72639.0
C2172,86565.0
C2176,102000.0
C2177,187600.0
C2186,280100.0
C2187,67814.0
C2201,50970.0
C2207,268444.0
C2208,5200.0
C2212,90197.0
C2223,330047.0
C2224,250262.0
C2225,207417.0
C2226,49479.0
C2229,1915419.0
C2231,10000.0
C2238,334968.0
C2239,435963.0
C2241,0.0
C2243,600.0
C2244,21030.0
C2248,10000.0
C2250,0.0
C2253,35759.0
C2255,18194.0
C2258,289800.0
C2262,1203745.0
C2266,50085.0
C2269,0.0
C2270,13620.0
C2275,254676.0
C2281,170593.0
C2291,355345.0
C2294,200170.33
C2298,194578.0
C2299,269780.0
C2302,274928.0
C2311,19081.0
C2312,5180.0
C2314,0.0
C2320,76070.0
C2323,29310.0
C2331,296286.0
C2332,215681.0
C2337,1856169.0
C2339,16983.0
C2340,271765.0
C2343,88646.0
C2347,58651.0
C2351,46582.0
C2352,30860.0
C2353,51281.0
C2354,4900.0
C2358,5100.0
C2359,0.0
C2361,0.0
C2362,0.0
C2363,297660.0
C2375,5200.0
C2376,36745.0
C2379,5230.0
C2381,14308.0
C2399,7204.0
C2411,53755.0
C2416,417.0
C2419,10000.0
C2430,12480.0
C2431,148153.0
C2432,266249.0
C2436,78468.0
C2446,192160.0
C2447,275512.0
C2461,241613.0
C2468,149480.0
C2476,36315.0
C2478,79490.0
C2480,1159274.8
C2487,55569.0
C2489,560.0
C2495,248952.0
C2500,635.0
C2510,144.0
C2512,24070.0
C2531,78150.0
C2540,4590.0
C2541,13860.0
C2548,57404.0
C2549,73460.0
C2568,282835.0
C2569,321204.0
C2575,34153.0
C2576,30065.0
C2577,7200.0
C2592,297390.0
C2593,29989.0
C2594,30300.0
C2595,5510.0
C2596,5326.0
C2605,86094.0
C2607,132298.0
C2608,13420339.0
C2612,71544.0
C2613,57630.0
C2614,82769.0
C2615,93429.0
C2616,0.0
E0933,236485.0
E0952,1901522.0
E0959,1.0
E0978,3562.0
E1089,1937.0
E1113,2016.0
E1115,122808.0
F0041,11700.0
F0059,141131.0
F0064,3000.0
F0070,0.0
F0077,0.0
F0078,540000.0
F0081,126920.0
F0089,2109911.7
F0090,500.0
F0092,376393.0
F0096,834822.0
F0098,494944.5
F0102,570600.0
F0108,20000.0
F0109,20000.0
F0110,1449872.0
F0112,770045.0
F0113,515724.0
F0114,268307.0
F0118,353423.0
F0123,2379926.0
F0124,307117.0
F0134,15300.0
F0135,0.0
F0136,10000.0
F0137,247545.0
F0138,350158.0
F0149,510943.0
F0150,58197.0
F0157,665558.0
F0161,322098.0
F0162,328974.0
F0182,51730.0
F0191,26669.0
F0196,502405.0
F0199,517932.0
F0206,269827.0
F0209,98860.0
F0216,476972.5
F0234,16981.0
L2654,49781.0
L2703,25950.0
L2880,0.0
L2975,273.0
L2995,12380.0
L3022,13590.0
L3029,28840.0
L3052,67433.0
L3056,5620.0
L3083,0.0
L3091,71157.0
L3098,1958.0
L3103,4121.0
L3130,0.0
L3132,0.0
L3141,10000.0
L3222,236.0
L3236,4850.0
L3248,500245.0
L3254,1962.0
L3257,66968.0
L3259,5898.0
L3260,28420.0
L3272,0.0
L3353,5401.0
L3374,2313.0
L3491,590617.0
L3493,11320.0
L3501,839355.0
L3504,6870.0
L3513,838404.0
L3515,124111.0
L3516,785848.0
L3517,1500.0
L3518,278686.0
L3519,175845.0
L3521,12900.0
L3522,0.0
L3524,550920.0
L3526,32452.0
L3527,22277.0
L3528,12600.0
L3535,16648.0
L3538,10000.0
L3544,88123.0
L3587,407746.0
L3588,453444.0
